OverallQual,YearBuilt,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice,SalePrice_log,InternalSF,TotalBath,TotRmsAbvGrdWithBath,OverallScore,InternalScore,HouseAge,ExterQaulScore,HeatingQCScore,KitchenQualScore,GarageQualScore,ExterQual_Gd,ExterQual_TA,Foundation_PConc,BsmtQual_Ex,BsmtQual_TA,BsmtFinType1_GLQ,HeatingQC_Ex,KitchenQual_Ex,KitchenQual_Gd,KitchenQual_TA,FireplaceQu_Not Applicable,GarageType_Attchd,GarageFinish_Fin,GarageFinish_Unf,Neighborhood_Price_Bucket_Level_1,Neighborhood_Price_Bucket_Level_4
4,1967,0.0,0,1296,1296,2,6,0,2,516,90000,11.407564949312402,1296,2.0,8.0,20,5184,39,0.0,3888,3888,1548.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5,2004,0.0,1114,1114,1114,1,6,0,2,576,159000,11.976659481202368,2228,2.5,7.5,25,11140,4,0.0,5570,4456,1728.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,1958,0.0,1029,1339,1339,1,6,0,1,294,139000,11.842229212112828,2368,1.0,7.0,30,11840,51,0.0,4017,4017,882.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
8,2005,380.0,1158,1158,2376,3,9,1,3,853,325300,12.692503112461443,3534,3.5,12.5,40,28272,1,1520.0,11880,9504,2559.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,1930,0.0,637,1108,1108,1,6,1,1,280,139400,11.84510277730856,1745,1.0,7.0,49,12215,77,0.0,5540,4432,840.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
8,2002,281.0,1777,1795,1795,2,7,1,2,534,230000,12.345834587905332,3572,2.0,9.0,40,28576,6,1124.0,8975,7180,1602.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1976,0.0,1040,1060,1060,1,6,1,2,572,129900,11.77452020265869,2100,2.0,7.0,35,10500,31,0.0,3180,3180,1716.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
5,1968,0.0,1060,1060,1060,1,6,1,1,270,154000,11.944707881395766,2120,2.0,7.0,40,10600,42,0.0,5300,4240,810.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8,2007,640.0,1566,1600,1600,2,7,1,3,890,256300,12.454103912352162,3166,2.0,9.0,40,25328,2,2560.0,8000,6400,2670.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,1951,0.0,900,900,900,1,5,0,2,576,134800,11.811547477460344,1800,1.5,6.0,35,9000,59,0.0,2700,3600,1728.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,2007,200.0,1704,1704,1704,2,7,1,3,772,306000,12.631340380934516,3408,3.0,9.0,40,27264,3,800.0,8520,6816,2316.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,1957,0.0,1484,1600,1600,1,6,2,1,319,207500,12.24288661865289,3084,2.0,7.0,30,15420,49,0.0,4800,4800,957.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1927,0.0,520,520,520,1,4,0,1,240,68500,11.134589024250316,1040,1.0,5.0,24,4160,81,0.0,1040,1040,480.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
4,1920,0.0,649,649,1317,1,6,0,1,250,40000,10.596634733096073,1966,1.0,7.0,16,7864,88,0.0,3951,3951,750.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
5,1966,0.0,1228,1228,1228,1,6,0,1,271,149350,11.914047823644257,2456,1.5,7.5,30,12280,42,0.0,4912,4912,813.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8,2007,0.0,1234,1234,1234,2,7,0,2,484,179900,12.100156419938624,2468,2.0,9.0,40,19744,1,0.0,6170,4936,1452.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1959,0.0,1398,1700,1700,1,6,1,2,447,165500,12.016726473799254,3098,2.0,7.5,25,15490,51,0.0,6800,6800,1341.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,2005,246.0,1561,1561,1561,2,6,1,2,556,277500,12.533576212168626,3122,3.0,8.0,45,28098,2,1230.0,7805,7805,1668.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
8,2004,132.0,1117,1132,2452,3,9,1,3,691,309000,12.641096555879882,3569,3.5,12.5,40,28552,2,528.0,12260,9808,2073.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,1994,0.0,1097,1097,1097,1,6,0,2,672,145000,11.884489021402713,2194,1.5,7.5,25,10970,15,0.0,5485,3291,2016.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
5,1954,650.0,1297,1297,1297,1,5,1,2,498,153000,11.938193200374572,2594,1.5,6.0,30,12970,55,1950.0,5188,3891,1494.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5,1953,0.0,1057,1057,1057,1,5,0,1,246,109000,11.59910316121128,2114,2.0,6.0,35,10570,57,0.0,3171,4228,738.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,1955,0.0,0,1152,1152,2,6,0,0,0,82000,11.314474526246393,1152,2.0,8.0,20,4608,53,0.0,3456,2304,1452.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6,1965,101.0,1088,1324,1324,2,6,1,2,440,160000,11.982929094215963,2412,2.0,8.0,30,14472,41,303.0,6620,3972,1320.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1959,0.0,1350,1328,1328,1,5,2,1,308,170000,12.0435537160324,2678,2.0,6.5,30,13390,48,0.0,5312,3984,924.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,1983,0.0,840,884,884,1,5,0,2,504,144000,11.877568578558138,1724,2.0,6.0,35,8620,24,0.0,3536,3536,1512.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1975,0.0,938,938,938,1,5,0,1,308,130250,11.777210959615614,1876,2.0,6.0,30,9380,33,0.0,2814,2814,924.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5,1959,0.0,1150,1150,1150,1,6,0,1,300,141000,11.856515169360303,2300,2.0,7.0,30,11500,47,0.0,5750,3450,900.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
9,2005,412.0,1752,1752,1752,2,6,1,2,576,319900,12.675763725937609,3504,3.0,8.0,45,31536,5,2060.0,8760,8760,1728.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,2003,0.0,1434,1518,2149,1,6,1,2,670,239686,12.3870850123755,3583,2.5,7.5,35,25081,6,0.0,10745,8596,2010.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,2006,0.0,1656,1656,1656,2,7,0,3,826,249700,12.428015476267865,3312,2.0,9.0,40,26496,1,0.0,8280,6624,2478.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
4,1920,0.0,736,736,1452,2,8,0,0,0,113000,11.635143097694478,2188,2.0,10.0,20,8752,89,0.0,5808,4356,1452.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,1966,0.0,955,955,955,1,6,0,1,386,127000,11.751942365440728,1910,2.0,7.0,35,9550,41,0.0,4775,2865,1158.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6,1997,0.0,794,794,1470,2,6,0,2,388,177000,12.083905011555968,2264,2.5,8.0,36,13584,10,0.0,5880,4410,1164.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,1934,0.0,816,816,1176,1,6,1,2,528,114500,11.648330101976432,1632,1.0,7.0,36,9792,72,0.0,3528,3528,1584.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5,1963,0.0,816,816,816,1,5,0,2,516,110000,11.608235644774552,1632,2.0,6.0,25,8160,47,0.0,2448,2448,1548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
9,1981,0.0,1842,1842,1842,0,5,1,3,894,385000,12.86099861326992,3684,2.5,5.5,45,33156,25,0.0,7368,7368,2682.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
5,1955,0.0,384,1360,1360,1,6,1,2,572,130000,11.77528972943772,1744,1.0,7.0,25,8720,52,0.0,4080,4080,1716.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,1964,272.0,1425,1425,1425,2,7,1,2,576,180500,12.103486056755072,2850,2.0,9.0,30,17100,44,816.0,5700,4275,1728.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,1999,456.0,970,983,1739,2,7,0,2,480,172500,12.058152515453552,2709,3.5,9.5,40,21672,10,1824.0,8695,6956,1440.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
7,2004,0.0,860,860,1720,2,7,0,2,565,196500,12.188417710291452,2580,2.5,9.5,35,18060,2,0.0,8600,6880,1695.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,2006,1031.0,1410,1426,2945,3,10,1,3,641,438780,12.991753427493052,4355,3.5,13.5,50,43550,0,5155.0,14725,11780,1923.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,1972,0.0,780,780,780,1,4,0,1,352,124900,11.73526869611367,1560,1.0,5.0,35,7800,36,0.0,3900,2340,1056.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
6,2004,0.0,1158,1158,1158,1,5,0,2,576,158000,11.970350312009105,2316,2.5,6.5,30,13896,2,0.0,5790,4632,1728.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,1920,0.0,530,581,1111,1,6,0,1,288,101000,11.522875795823396,1641,1.0,7.0,35,8205,87,0.0,3333,2222,864.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
8,2006,178.0,1370,1370,1370,2,6,1,2,484,202500,12.218495165528733,2740,2.0,8.0,40,21920,1,712.0,6850,5480,1452.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,1921,0.0,576,902,1710,2,9,0,2,480,140000,11.84939770159144,2286,2.0,11.0,42,16002,89,0.0,6840,5130,1440.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
7,1997,573.0,1057,1057,2034,2,8,0,2,645,219500,12.299107511497365,3091,3.5,10.5,35,21637,12,1719.0,10170,8136,1935.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,2004,344.0,1143,1143,2473,2,9,1,3,852,317000,12.666657052859415,3616,2.5,11.5,40,28928,3,1376.0,12365,9892,2556.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,1970,287.0,1947,2207,2207,2,7,1,2,576,180000,12.100712129872347,4154,3.0,9.0,35,29078,40,861.0,6621,6621,1728.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2003,167.0,1453,1479,1479,2,7,0,2,558,226000,12.328290278254425,2932,3.0,9.0,35,20524,4,668.0,7395,5916,1674.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1945,0.0,747,747,747,1,4,0,1,220,80000,11.289781913656018,1494,1.0,5.0,24,5976,65,0.0,2241,2241,660.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
7,1953,0.0,1304,1304,2287,2,7,1,2,667,225000,12.323855681186558,3591,2.0,9.0,28,25137,53,0.0,6861,6861,2001.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
7,1973,1115.0,2223,2223,2223,2,8,2,2,516,244000,12.404923504275338,4446,3.0,10.0,42,31122,34,3345.0,11115,6669,1548.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4,1982,0.0,845,845,845,1,4,0,2,360,129500,11.771436160121729,1690,2.0,5.0,24,6760,25,0.0,2535,2535,1080.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
7,1998,40.0,832,885,1718,2,7,1,2,427,185000,12.128111104060462,2550,2.5,9.5,35,17850,11,120.0,6872,5154,1281.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5,1954,104.0,1086,1086,1086,1,6,0,2,490,144900,11.883799128308771,2172,2.0,7.0,35,10860,56,312.0,4344,3258,1470.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
3,1915,0.0,840,840,1605,2,8,0,1,379,107400,11.5843154610569,2445,2.0,10.0,18,7335,95,0.0,6420,4815,1137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
4,1973,0.0,462,526,988,1,5,0,1,297,91000,11.418614785498988,1450,2.0,6.0,20,5800,36,0.0,2964,2964,891.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
4,1956,0.0,952,952,952,1,4,0,1,283,135750,11.818570237796182,1904,1.0,5.0,28,7616,52,0.0,4760,2856,849.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5,1948,0.0,672,1072,1285,1,6,0,1,240,127000,11.751942365440728,1957,2.0,7.0,25,9785,60,0.0,3855,3855,720.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
4,1968,0.0,1768,1768,1768,2,8,0,0,0,136500,11.824079893607152,3536,2.0,10.0,20,14144,42,0.0,5304,5304,1452.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,1910,0.0,440,682,1230,1,5,0,2,440,110000,11.608235644774552,1670,1.5,6.5,30,8350,99,0.0,4920,3690,1320.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
6,1968,576.0,896,1182,2142,2,8,1,1,509,193500,12.173032791451972,3038,2.5,10.5,36,18228,41,1728.0,6426,8568,1527.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,1998,443.0,1237,1337,1337,2,5,0,2,405,153500,11.941455846009388,2574,3.0,7.0,30,15444,8,1329.0,6685,4011,1215.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,2007,468.0,1563,1563,1563,2,6,1,3,758,245000,12.409013489526863,3126,2.0,8.0,40,25008,1,1404.0,7815,6252,2274.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,1960,66.0,1065,1065,1065,1,6,0,2,461,126500,11.747997587149712,2130,1.5,7.5,25,10650,47,198.0,4260,3195,1383.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
7,1995,22.0,384,804,1474,2,7,1,2,400,168500,12.034691028774551,1858,2.5,9.5,35,13006,14,66.0,5896,4422,1200.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,1991,284.0,1288,1301,2417,2,9,1,2,462,260000,12.468436909997664,3705,2.5,11.5,40,29640,15,1136.0,12085,9668,1386.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
6,2005,0.0,684,684,1560,2,6,1,2,400,174000,12.066810578196666,2244,2.5,8.5,30,13464,4,0.0,7800,6240,1200.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,2009,76.0,612,612,1224,2,4,0,2,528,164500,12.010665849187564,1836,2.5,6.5,30,11016,0,304.0,6120,4896,1584.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,1915,0.0,1013,1013,1526,1,6,0,0,0,85000,11.350406535472452,2026,1.0,7.0,6,6078,94,0.0,4578,3052,1452.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1994,0.0,990,990,990,1,5,0,0,0,123600,11.724805824005728,1980,2.0,6.0,20,7920,13,0.0,4950,2970,1452.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1950,0.0,0,1040,1040,1,4,0,2,420,109900,11.607326140391711,1040,1.0,5.0,20,4160,56,0.0,3120,3120,1260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5,1961,203.0,1235,1235,1235,1,6,0,2,480,98600,11.498826540590729,2470,1.0,7.0,15,12350,45,609.0,3705,3705,1440.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
5,1921,0.0,876,964,964,1,5,0,2,432,163500,12.004568269319446,1840,2.0,6.0,35,9200,88,0.0,4820,2892,1296.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
6,1910,0.0,1214,1260,2291,2,9,1,2,506,133900,11.804848531679264,3505,2.5,11.0,36,21030,97,0.0,11455,6873,1518.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
6,1997,0.0,824,905,1786,2,7,0,2,684,204750,12.229545001715316,2610,3.5,9.5,30,15660,10,0.0,8930,7144,2052.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,1993,68.0,680,680,1470,2,6,1,2,420,185000,12.128111104060462,2150,2.5,8.5,48,12900,16,340.0,5880,4410,1260.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1999,183.0,1588,1588,1588,2,6,0,2,472,214000,12.273731294003989,3176,2.0,8.0,35,22232,7,732.0,7940,6352,1416.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1965,48.0,960,960,960,1,6,0,1,432,94750,11.458997122944671,1920,2.0,7.0,20,7680,42,144.0,2880,2880,1296.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
