Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,Fence,MiscVal,SaleType,SaleCondition,SalePrice,InternalSF,PorchDeckSF,TotalBath,TotRmsAbvGrdWithBath,InternalQual,InternalCond,HouseAge,RemodAge,GarageAge,ExterQaulScore,ExterCondScore,HeatingQCScore,KitchenQualScore,GarageQualScore,GarageCondScore,Neighborhood_Price_Bucket
11,20,RL,70.0,11200,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,5,1965,Other,CompShg,HdBoard,HdBoard,Not Applicable,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,1,0,3,1,TA,5,Typ,0,Not Applicable,Detchd,Unf,1,384,TA,TA,Y,0,Not Applicable,0,WD,Normal,129500,2080,0,2.0,6.0,10400,10400,43,43,43.0,0.0,0.0,5200,3120,1152.0,1152.0,Level_2
12,60,RL,85.0,11924,Pave,Not Applicable,IR1,Lvl,Inside,Gtl,Norm,1Fam,2Story,9,5,2005,Other,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,TA,Y,0,Not Applicable,0,New,Partial,345000,3499,168,4.0,14.0,31491,17495,1,0,1.0,1430.0,858.0,11620,11620,2208.0,2208.0,Level_4
13,20,RL,69.0,12968,Pave,Not Applicable,IR2,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,6,1962,Other,CompShg,HdBoard,Plywood,Not Applicable,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,1,0,2,1,TA,4,Typ,0,Not Applicable,Detchd,Unf,1,352,TA,TA,Y,0,Not Applicable,0,WD,Normal,144000,1824,316,2.0,5.0,9120,10944,46,46,46.0,0.0,0.0,2736,2736,1056.0,1056.0,Level_2
14,20,RL,91.0,10652,Pave,Not Applicable,IR1,Lvl,Inside,Gtl,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,TA,Y,0,Not Applicable,0,New,Partial,279500,2988,193,2.0,9.0,20916,14940,1,0,1.0,1224.0,918.0,7470,5976,2520.0,2520.0,Level_3
15,20,RL,69.0,10920,Pave,Not Applicable,IR1,Lvl,Corner,Gtl,Norm,1Fam,1Story,6,5,1960,Other,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,1,1,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,TA,Y,0,GdWo,0,WD,Normal,157000,2506,389,2.5,6.5,15036,12530,48,48,48.0,636.0,636.0,3759,3759,1056.0,1056.0,Level_2
16,45,RM,51.0,6120,Pave,Not Applicable,Reg,Lvl,Corner,Gtl,Norm,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,Wd Sdng,Not Applicable,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,1,0,2,1,TA,5,Typ,0,Not Applicable,Detchd,Unf,2,576,TA,TA,Y,0,GdPrv,0,WD,Normal,132000,1686,160,1.0,6.0,11802,13488,78,6,16.0,0.0,0.0,4270,2562,1728.0,1728.0,Level_1
17,20,RL,69.0,11241,Pave,Not Applicable,IR1,Lvl,CulDSac,Gtl,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,1,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,480,TA,TA,Y,0,Not Applicable,700,WD,Normal,149000,2008,0,2.0,6.0,12048,14056,40,40,40.0,540.0,540.0,5020,3012,1440.0,1440.0,Level_2
18,90,RL,72.0,10791,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,MetalSd,Not Applicable,0.0,TA,TA,Slab,Not Applicable,Other,Not Applicable,Not Applicable,0,Other,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,2,0,2,2,TA,6,Typ,0,Not Applicable,CarPort,Unf,2,516,TA,TA,Y,0,Not Applicable,500,WD,Normal,90000,1296,0,2.0,8.0,5184,6480,39,39,39.0,0.0,0.0,3888,3888,1548.0,1548.0,Level_2
19,20,RL,66.0,13695,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Other,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,Not Applicable,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,1,1,3,1,Gd,6,Typ,0,Not Applicable,Detchd,Unf,2,576,TA,TA,Y,0,Not Applicable,0,WD,Normal,159000,2228,102,2.5,7.5,11140,11140,4,4,4.0,0.0,0.0,5570,4456,1728.0,1728.0,Level_3
20,20,RL,70.0,7560,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,6,1958,Other,CompShg,BrkFace,Plywood,Not Applicable,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,1,0,3,1,TA,6,Other,0,Not Applicable,Attchd,Unf,1,294,TA,TA,Y,0,MnPrv,0,COD,Abnorml,139000,2368,0,1.0,7.0,11840,14208,51,44,51.0,0.0,0.0,4017,4017,882.0,882.0,Level_2
21,60,RL,101.0,14215,Pave,Not Applicable,IR1,Lvl,Corner,Gtl,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,853,TA,TA,Y,0,Not Applicable,0,New,Partial,325300,3534,394,3.5,12.5,28272,17670,1,0,1.0,1520.0,1140.0,11880,9504,2559.0,2559.0,Level_4
22,45,RM,57.0,7449,Pave,Grvl,Reg,Other,Inside,Gtl,Norm,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,Wd Sdng,Not Applicable,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,TA,TA,N,0,GdPrv,0,WD,Normal,139400,1745,205,1.0,7.0,12215,12215,77,57,77.0,0.0,0.0,5540,4432,840.0,840.0,Level_1
23,20,RL,75.0,9742,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,8,5,2002,Other,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,TA,Y,0,Not Applicable,0,WD,Normal,230000,3572,330,2.0,9.0,28576,17860,6,6,6.0,1124.0,843.0,8975,7180,1602.0,1602.0,Level_3
24,120,RM,44.0,4224,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,CmentBd,Not Applicable,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,572,TA,TA,Y,0,Not Applicable,0,WD,Normal,129900,2100,210,2.0,7.0,10500,14700,31,31,31.0,0.0,0.0,3180,3180,1716.0,1716.0,Level_1
25,20,RL,69.0,8246,Pave,Not Applicable,IR1,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,Plywood,Not Applicable,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,Other,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,1,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,270,TA,TA,Y,0,MnPrv,0,WD,Normal,154000,2120,496,2.0,7.0,10600,16960,42,9,42.0,0.0,0.0,5300,4240,810.0,810.0,Level_2
26,20,RL,110.0,14230,Pave,Not Applicable,Reg,Lvl,Corner,Gtl,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,TA,Y,0,Not Applicable,0,WD,Normal,256300,3166,56,2.0,9.0,25328,15830,2,2,2.0,2560.0,1920.0,8000,6400,2670.0,2670.0,Level_4
27,20,RL,60.0,7200,Pave,Not Applicable,Reg,Lvl,Corner,Gtl,Norm,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,Wd Sdng,Not Applicable,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Other,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,0,3,1,Gd,5,Typ,0,Not Applicable,Detchd,Unf,2,576,TA,TA,Y,0,Not Applicable,0,WD,Normal,134800,1800,254,1.5,6.0,9000,12600,59,10,5.0,0.0,0.0,2700,3600,1728.0,1728.0,Level_2
28,20,RL,98.0,11478,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,TA,Y,0,Not Applicable,0,WD,Normal,306000,3408,50,3.0,9.0,27264,17040,3,2,2.0,800.0,600.0,8520,6816,2316.0,2316.0,Level_4
29,20,RL,47.0,16321,Pave,Not Applicable,IR1,Lvl,CulDSac,Gtl,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,MetalSd,Not Applicable,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,1,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,319,TA,TA,Y,0,Not Applicable,0,WD,Normal,207500,3084,546,2.0,7.0,15420,18504,49,9,49.0,0.0,0.0,4800,4800,957.0,957.0,Level_2
30,30,RM,60.0,6324,Pave,Not Applicable,IR1,Lvl,Inside,Gtl,Other,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,MetalSd,Not Applicable,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,1,0,1,1,Fa,4,Typ,0,Not Applicable,Detchd,Unf,1,240,Other,TA,Y,0,Not Applicable,0,WD,Normal,68500,1040,136,1.0,5.0,4160,6240,81,58,88.0,0.0,0.0,1040,1040,480.0,720.0,Level_1
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,Other,1Fam,2Story,4,4,1920,Other,CompShg,BrkFace,BrkFace,Not Applicable,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,1,0,3,1,TA,6,Typ,0,Not Applicable,Detchd,Unf,1,250,TA,Other,N,0,MnPrv,0,WD,Normal,40000,1966,226,1.0,7.0,7864,7864,88,58,88.0,0.0,0.0,3951,3951,750.0,500.0,Level_1
32,20,RL,69.0,8544,Pave,Not Applicable,IR1,Lvl,CulDSac,Gtl,Norm,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,HdBoard,Not Applicable,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,1,1,3,1,Gd,6,Typ,0,Not Applicable,Attchd,Unf,1,271,TA,TA,Y,0,MnPrv,0,WD,Normal,149350,2456,65,1.5,7.5,12280,14736,42,2,42.0,0.0,0.0,4912,4912,813.0,813.0,Level_2
33,20,RL,85.0,11049,Pave,Not Applicable,Reg,Lvl,Corner,Gtl,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Not Applicable,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,2,0,3,1,Gd,7,Typ,0,Not Applicable,Attchd,RFn,2,484,TA,TA,Y,0,Not Applicable,0,WD,Normal,179900,2468,30,2.0,9.0,19744,12340,1,1,1.0,0.0,0.0,6170,4936,1452.0,1452.0,Level_3
34,20,RL,70.0,10552,Pave,Not Applicable,IR1,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,5,1959,Other,CompShg,BrkFace,BrkFace,Not Applicable,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,TA,TA,Y,0,Not Applicable,0,WD,Normal,165500,3098,38,2.0,7.5,15490,15490,51,51,51.0,0.0,0.0,6800,6800,1341.0,1341.0,Level_2
35,120,RL,60.0,7313,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,TwnhsE,1Story,9,5,2005,Other,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,TA,TA,Y,0,Not Applicable,0,WD,Normal,277500,3122,250,3.0,8.0,28098,15610,2,2,2.0,1230.0,738.0,7805,7805,1668.0,1668.0,Level_4
36,60,RL,108.0,13418,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,691,TA,TA,Y,0,Not Applicable,0,WD,Normal,309000,3569,145,3.5,12.5,28552,17845,2,1,2.0,528.0,396.0,12260,9808,2073.0,2073.0,Level_4
37,20,RL,112.0,10859,Pave,Not Applicable,Reg,Lvl,Corner,Gtl,Norm,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,VinylSd,Not Applicable,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,1,1,3,1,TA,6,Typ,0,Not Applicable,Attchd,Unf,2,672,TA,TA,Y,0,Not Applicable,0,WD,Normal,145000,2194,456,1.5,7.5,10970,10970,15,14,14.0,0.0,0.0,5485,3291,2016.0,2016.0,Level_3
38,20,RL,74.0,8532,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,6,1954,Other,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,498,TA,TA,Y,0,Not Applicable,0,WD,Normal,153000,2594,0,1.5,6.0,12970,15564,55,19,55.0,1950.0,1950.0,5188,3891,1494.0,1494.0,Level_2
39,20,RL,68.0,7922,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,Not Applicable,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,1,0,3,1,Gd,5,Typ,0,Not Applicable,Detchd,Unf,1,246,TA,TA,Y,0,Not Applicable,0,WD,Abnorml,109000,2114,52,2.0,6.0,10570,14798,57,3,57.0,0.0,0.0,3171,4228,738.0,738.0,Level_2
40,90,RL,65.0,6040,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,Plywood,Not Applicable,0.0,TA,TA,PConc,Not Applicable,Other,Not Applicable,Not Applicable,0,Other,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,2,0,2,2,Fa,6,Typ,0,Not Applicable,Not Applicable,Not Applicable,0,0,Other,Other,N,0,Not Applicable,0,WD,AdjLand,82000,1152,0,2.0,8.0,4608,5760,53,53,28.0,0.0,0.0,3456,2304,,,Level_1
41,20,RL,84.0,8658,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,440,TA,TA,Y,0,GdWo,0,WD,Abnorml,160000,2412,138,2.0,8.0,14472,12060,41,41,41.0,303.0,303.0,6620,3972,1320.0,1320.0,Level_2
42,20,RL,115.0,16905,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,VinylSd,Not Applicable,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,308,TA,TA,P,0,Not Applicable,0,WD,Normal,170000,2678,104,2.0,6.5,13390,16068,48,48,48.0,0.0,0.0,5312,3984,924.0,924.0,Level_4
43,85,RL,69.0,9180,Pave,Not Applicable,IR1,Lvl,CulDSac,Gtl,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,HdBoard,Not Applicable,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,Other,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,1,0,2,1,Gd,5,Typ,0,Not Applicable,Attchd,RFn,2,504,TA,Other,Y,0,MnPrv,0,WD,Normal,144000,1724,240,2.0,6.0,8620,12068,24,24,24.0,0.0,0.0,3536,3536,1512.0,2016.0,Level_3
44,20,RL,69.0,9200,Pave,Not Applicable,IR1,Lvl,CulDSac,Gtl,Norm,1Fam,1Story,5,6,1975,Other,CompShg,VinylSd,VinylSd,Not Applicable,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,Other,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,1,0,3,1,TA,5,Typ,0,Not Applicable,Detchd,Unf,1,308,TA,TA,Y,0,MnPrv,0,WD,Normal,130250,1876,145,2.0,6.0,9380,11256,33,28,31.0,0.0,0.0,2814,2814,924.0,924.0,Level_3
45,20,RL,70.0,7945,Pave,Not Applicable,Reg,Lvl,Inside,Gtl,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,Wd Sdng,Not Applicable,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,Other,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,1,0,3,1,TA,6,Typ,0,Not Applicable,Attchd,RFn,1,300,TA,TA,Y,0,Not Applicable,0,WD,Normal,141000,2300,0,2.0,7.0,11500,13800,47,47,47.0,0.0,0.0,5750,3450,900.0,900.0,Level_2
